0.89 0.88 0.82 0.22 0.75 0.58 0.26 0.00 0.84 0.67 0.89 0.88 0.82 0.22
0.85 0.21 0.89 0.13 0.67 0.05 0.97 0.71 0.36 0.35 0.85 0.21 0.89 0.13
0.82 0.33 0.68 0.72 0.87 0.48 0.46 0.05 0.74 0.11 0.82 0.33 0.68 0.72
0.50 0.65 0.89 0.47 0.11 0.16 0.51 0.84 0.33 0.70 0.50 0.65 0.89 0.47
0.00 0.43 0.26 0.32 0.32 0.32 0.72 0.93 0.49 0.94 0.00 0.43 0.26 0.32
0.01 0.22 0.05 0.73 0.51 0.11 0.11 0.66 0.11 0.22 0.01 0.22 0.05 0.73
0.15 0.33 0.83 0.55 0.02 0.57 0.51 0.64 0.83 0.19 0.15 0.33 0.83 0.55
0.42 0.50 0.61 0.85 0.64 0.66 0.67 0.77 0.46 0.84 0.42 0.50 0.61 0.85
0.77 0.96 0.49 0.05 0.65 0.95 0.75 0.97 0.49 0.59 0.77 0.96 0.49 0.05
0.29 0.05 0.64 0.26 0.03 0.01 0.45 0.33 0.26 0.18 0.29 0.05 0.64 0.26
0.89 0.88 0.82 0.22 0.75 0.58 0.26 0.00 0.84 0.67 0.89 0.88 0.82 0.22
0.85 0.21 0.89 0.13 0.67 0.05 0.97 0.71 0.36 0.35 0.85 0.21 0.89 0.13
0.82 0.33 0.68 0.72 0.87 0.48 0.46 0.05 0.74 0.11 0.82 0.33 0.68 0.72
0.50 0.65 0.89 0.47 0.11 0.16 0.51 0.84 0.33 0.70 0.50 0.65 0.89 0.47
